State,Year,Quarter,Transaction_Count,Transaction_Amount,User_Count,Avg_Transaction_Value,Transactions_Per_User
Chhattisgarh,2019,4,16305758,27143788737.213387,2725900.0,1664.6750636930456,5.98178876701273
Chhattisgarh,2020,1,19523991,32860597671.35623,3016487.0,1683.0881386575231,6.4724267003305505
Chhattisgarh,2020,2,18820925,32268382206.901356,3401658.0,1714.4950212012086,5.532868089619827
Chhattisgarh,2020,3,24148539,41526744807.53408,3799386.0,1719.6379792389957,6.355905664757411
Chhattisgarh,2020,4,35529636,62214974283.94856,4190601.0,1751.0726618181104,8.478410614611127
Chhattisgarh,2021,1,39436437,69409843261.55156,4514551.0,1760.0434659335872,8.735406245272232
Chhattisgarh,2021,2,44689420,78728771259.22603,4837055.0,1761.6870225486487,9.238972887428405
Chhattisgarh,2021,3,64237938,104606108262.77673,5206084.0,1628.416345848099,12.33901297020947
Chhattisgarh,2021,4,84717494,136399110518.81284,5565481.0,1610.0465686439313,15.22195368199083
Chhattisgarh,2022,1,97413292,157847045454.8345,5916961.0,1620.3850851774366,16.46339937004824
Chhattisgarh,2022,2,116584048,181181677163.78122,,1554.086346047799,
Chhattisgarh,2022,3,158252587,220161558081.98898,,1391.2035326284365,
Chhattisgarh,2022,4,177960446,252519180810.47153,,1418.962395781316,
Chhattisgarh,2023,1,214748957,301088936459.0,,1402.050751096314,
Chhattisgarh,2023,2,249931636,333156846754.0,,1332.9919016494575,
Chhattisgarh,2023,3,283492657,350379679526.0,,1235.9391711722537,
Chhattisgarh,2023,4,321876332,403985034545.0,,1255.0939425549313,
Chhattisgarh,2024,1,366176684,463009809901.0,,1264.4437238417943,
Chhattisgarh,2024,2,412047705,496313432419.0,,1204.5047852383987,
Chhattisgarh,2024,3,443640102,497360133758.0,,1121.0892151449375,
Chhattisgarh,2024,4,500655404,576828444625.0,,1152.146646208976,
Dadra & Nagar Haveli & Daman & Diu,2018,1,148549,175658384.1092169,53258.0,1182.494558086671,2.78923354237861
Dadra & Nagar Haveli & Daman & Diu,2018,2,202626,302070771.6561516,71458.0,1490.77991795797,2.8355957345573626
Dadra & Nagar Haveli & Daman & Diu,2018,3,289575,447639595.6781753,92107.0,1545.8502829255815,3.143897857926108
Dadra & Nagar Haveli & Daman & Diu,2018,4,404082,658750616.8008868,116511.0,1630.2399433800238,3.468187553106574
Dadra & Nagar Haveli & Daman & Diu,2019,1,661814,843369776.0499005,140532.0,1274.3305159000874,4.709347337261264
Dadra & Nagar Haveli & Daman & Diu,2019,2,489656,824441276.5650709,158580.0,1683.7152543113345,3.0877538151090933
Dadra & Nagar Haveli & Daman & Diu,2019,3,638751,961471473.848372,176929.0,1505.2367414663493,3.610210875548949
Dadra & Nagar Haveli & Daman & Diu,2019,4,768971,1226641262.0110404,197598.0,1595.1723303102983,3.891593032318141
Dadra & Nagar Haveli & Daman & Diu,2020,1,878579,1342763369.2925177,218496.0,1528.335379393905,4.021030133274751
Dadra & Nagar Haveli & Daman & Diu,2020,2,973152,1302376453.888058,244814.0,1338.307329058624,3.97506678539626
Dadra & Nagar Haveli & Daman & Diu,2020,3,1138312,1749789114.9993625,267946.0,1537.178835854636,4.248288834317362
Dadra & Nagar Haveli & Daman & Diu,2020,4,1817791,2700511100.8285055,296493.0,1485.6004352692391,6.130974424354032
Dadra & Nagar Haveli & Daman & Diu,2021,1,1925244,2965632911.193505,321396.0,1540.3932754463874,5.990255012507935
Dadra & Nagar Haveli & Daman & Diu,2021,2,2125083,3157668461.4189043,344994.0,1485.903591256861,6.159767995965147
Dadra & Nagar Haveli & Daman & Diu,2021,3,3129470,4305939102.791507,371874.0,1375.9323792180487,8.41540414226324
Dadra & Nagar Haveli & Daman & Diu,2021,4,4157085,5565839386.330661,398963.0,1338.8803419537153,10.419725638718377
Dadra & Nagar Haveli & Daman & Diu,2022,1,4802803,6237048367.262391,424570.0,1298.6267326106008,11.312158183573969
Dadra & Nagar Haveli & Daman & Diu,2022,2,5759771,6995159780.810839,,1214.4857461886659,
Dadra & Nagar Haveli & Daman & Diu,2022,3,6465621,7520647359.499438,,1163.1747916401903,
Dadra & Nagar Haveli & Daman & Diu,2022,4,7189585,8059640746.081128,,1121.0161290368121,
Dadra & Nagar Haveli & Daman & Diu,2023,1,11803985,12614091200.0,,1068.6298906682784,
Dadra & Nagar Haveli & Daman & Diu,2023,2,13357115,13750538188.0,,1029.4542038456657,
Dadra & Nagar Haveli & Daman & Diu,2023,3,15370328,15096066463.0,,982.1564291276022,
Dadra & Nagar Haveli & Daman & Diu,2023,4,18302373,17558059967.0,,959.3324301171219,
Dadra & Nagar Haveli & Daman & Diu,2024,1,21115009,19519196325.0,,924.4228276199171,
Dadra & Nagar Haveli & Daman & Diu,2024,2,23393115,20328992711.0,,869.0160635298035,
Dadra & Nagar Haveli & Daman & Diu,2024,3,25446270,21564631566.0,,847.4574688549638,
Dadra & Nagar Haveli & Daman & Diu,2024,4,28463700,23945221461.0,,841.254701988849,
Delhi,2018,1,7122754,11211503806.919962,2087022.0,1574.040575726743,3.412879212581372
Delhi,2018,2,9373723,17446299902.205147,2756141.0,1861.1921754254042,3.401031732411368
Delhi,2018,3,18547048,27375846860.618565,3504911.0,1476.0217831224982,5.291731516149768
Delhi,2018,4,29187719,39722857618.7064,4630313.0,1360.9442251621786,6.303616839725522
Delhi,2019,1,47007327,58469131789.49728,5499263.0,1243.8301754425918,8.547932150180852
Delhi,2019,2,57171512,81706816063.6283,6165448.0,1429.1526182415519,9.272888523267085
Delhi,2019,3,69537876,103196812046.45686,6782286.0,1484.037448116144,10.252866953708528
Delhi,2019,4,80744997,129024467424.8907,7289883.0,1597.925224084047,11.076309043643088
Delhi,2020,1,81747604,133616543642.59007,7826197.0,1634.5010386186984,10.445380304124724
Delhi,2020,2,66042018,107873438203.33102,8391139.0,1633.4061476336326,7.870447385033188
